plataforma,total_vistas,validas,bloqueadas,otras_descartadas,tasa_apertura
getonbrd.cl,1,1,0,0,1.0
getonbrd.com.ar,1,1,0,0,1.0
getonbrd.com.co,1,1,0,0,1.0
getonbrd.com.mx,1,1,0,0,1.0
getonbrd.com.pe,1,1,0,0,1.0
getonbrd.us,1,1,0,0,1.0
getonbrd.world,1,1,0,0,1.0
github.com,1,1,0,0,1.0
getonbrd.com,566,289,0,277,0.5106
linkedin,2,1,0,1,0.5
docsend.com,1,0,0,1,0.0
insights.getonbrd.com?gb_medium=sub_footer&gb_source=gob-app,1,0,0,1,0.0
instagram.com,1,0,0,1,0.0
open.spotify.com,1,0,0,1,0.0
tiktok.com,1,0,0,1,0.0
youtube.com,2,0,0,2,0.0
