posicion,habilidad,frecuencia,porcentaje
1,python,132,44.3
2,aws,125,41.95
3,devops,122,40.94
4,sql,114,38.26
5,ci/cd,103,34.56
6,github,99,33.22
7,agile,95,31.88
8,git,88,29.53
9,docker,86,28.86
10,javascript,86,28.86
11,machine learning,84,28.19
12,kubernetes,83,27.85
13,java,82,27.52
14,react,80,26.85
15,node.js,73,24.5
16,typescript,71,23.83
17,postgresql,67,22.48
18,microservices,63,21.14
19,go,46,15.44
20,azure,42,14.09
21,angular,40,13.42
22,kanban,34,11.41
23,android,32,10.74
24,ciberseguridad,32,10.74
25,spring,31,10.4
26,spring boot,30,10.07
27,scrum,27,9.06
28,django,24,8.05
29,jira,24,8.05
30,ios,23,7.72
31,react native,22,7.38
32,power bi,21,7.05
33,flutter,19,6.38
34,oracle,18,6.04
35,swift,15,5.03
36,ruby,15,5.03
37,gitlab,15,5.03
38,terraform,14,4.7
39,c#,13,4.36
40,php,10,3.36
41,rails,10,3.36
42,html,10,3.36
43,kotlin,10,3.36
44,jenkins,9,3.02
45,langchain,8,2.68
46,grafana,8,2.68
47,ionic,7,2.35
48,bash,7,2.35
49,pytorch,7,2.35
50,prometheus,7,2.35
51,solid,6,2.01
52,mysql,6,2.01
53,next.js,6,2.01
54,looker,6,2.01
55,soc,6,2.01
56,css,6,2.01
57,google cloud,6,2.01
58,pandas,6,2.01
59,github actions,5,1.68
60,owasp,5,1.68
61,siem,5,1.68
62,api rest,5,1.68
63,vue,4,1.34
64,ansible,4,1.34
65,scikit-learn,4,1.34
66,elasticsearch,4,1.34
67,computer vision,4,1.34
68,tensorflow,4,1.34
69,numpy,4,1.34
70,tableau,4,1.34
71,datadog,4,1.34
72,graphql,4,1.34
73,oauth,3,1.01
74,mongodb,3,1.01
75,gitlab ci,3,1.01
76,deep learning,3,1.01
77,pentesting,3,1.01
78,dynamodb,3,1.01
79,express,3,1.01
80,heroku,3,1.01
81,tailwind,3,1.01
82,nlp,3,1.01
83,mlops,2,0.67
84,tdd,2,0.67
85,fastapi,2,0.67
86,flask,2,0.67
87,airflow,2,0.67
88,jquery,2,0.67
89,kafka,2,0.67
90,phoenix,2,0.67
91,nestjs,2,0.67
92,spark,2,0.67
93,clean architecture,2,0.67
94,unity,1,0.34
95,r,1,0.34
96,vite,1,0.34
97,webpack,1,0.34
98,opencv,1,0.34
99,redis,1,0.34
100,influxdb,1,0.34
101,bootstrap,1,0.34
102,xamarin,1,0.34
103,supabase,1,0.34
104,dart,1,0.34
105,laravel,1,0.34
106,firebase,1,0.34
107,websockets,1,0.34
108,c++,1,0.34
